datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
1990-01-01,0.0,10000.0,0.0,10000.0,,,
1990-01-02,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-03,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-04,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-05,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-08,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-09,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-10,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-11,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-12,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-15,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-16,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-17,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-18,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-19,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-22,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-23,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-24,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-25,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-26,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-29,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-30,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-01-31,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-01,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-02,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-05,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-06,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-07,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-08,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-09,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-12,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-13,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-14,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-15,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-16,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-20,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-21,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-22,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-23,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-26,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-27,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-02-28,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-01,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-02,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-05,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-06,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-07,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-08,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-09,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-12,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-13,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-14,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-15,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-16,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-19,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-20,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-21,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-22,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-23,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-26,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-27,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-28,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-29,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-03-30,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-02,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-03,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-04,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-05,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-06,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-09,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-10,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-11,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-12,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-16,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-17,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-18,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-19,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-20,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-23,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-24,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-25,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-26,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-27,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-04-30,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-01,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-02,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-03,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-04,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-07,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-08,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-09,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-10,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-11,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-14,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-15,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-16,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-17,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-18,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-21,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-22,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-23,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-24,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
1990-05-25,29.010199999999998,9968.2393,1.3,9997.2495,-0.0002750500000000544,0.99972495,0.0002750500000000544
1990-05-29,29.735500000000002,9968.2393,1.3,9997.9748,7.254995486505322e-05,0.9997974799999999,0.00020252000000009485
1990-05-30,30.007399999999997,9968.2393,1.3,9998.2467,2.7195507634081295e-05,0.9998246699999997,0.00017533000000025112
1990-05-31,29.9168,9968.2393,1.3,9998.1561,-9.061588768344286e-06,0.9998156099999997,0.0001843900000002563
1990-06-01,29.5542,9968.2393,1.3,9997.7935,-3.6266687214459026e-05,0.9997793499999997,0.00022065000000026647
1990-06-04,29.5542,9968.2393,1.3,9997.7935,0.0,0.9997793499999997,0.00022065000000026647
